flight_duration,flight_phase,departure_elevation,arrival_elevation,total_onboard,cargo_weight,airline,aircraft_type,aircraft_age,last_maintenance_hours,engine_hours_since_overhaul,pilot_experience,copilot_experience,crew_count,season,weather_condition,visibility_km,wind_speed_knots,wind_direction,temperature_c,precipitation_mm,turbulence_severity,route_complexity,air_traffic_density,risk
365,landing,2505,2102,123,19216,United,B737,6,284,6472,3202,3422,8,summer,storm,9.624926167163416,55,107,-17,5.2251506889500305,none,0.43,0.68,1
66,climb,2391,1771,130,11921,Delta,B737,22,467,3217,11959,2340,10,autumn,clear,4.619989188636342,11,108,36,3.7569483561000627,severe,0.36,0.86,1
193,descent,1558,1106,200,5628,Delta,B737,23,202,9187,7269,4834,10,autumn,storm,11.333353803978406,31,64,20,12.830444128368,light,0.29,0.49,0
472,descent,2534,2446,219,12643,Delta,B787,26,52,9067,7283,5694,9,spring,rain,1.0620740462785931,11,116,2,11.584016166004476,light,0.59,0.53,1
237,descent,2379,2298,256,9950,Delta,B787,1,345,7899,9241,2670,9,autumn,snow,12.468043579860062,53,96,15,1.3310708060198473,light,0.15,0.34,1
382,landing,682,2486,188,1220,Indigo,A350,7,144,2084,10723,6085,8,spring,snow,8.245584121820588,41,29,7,14.003639591869174,severe,0.54,0.88,1
100,landing,2182,1391,190,14071,Delta,B787,9,313,9876,12781,1089,6,winter,clear,14.517548370663315,48,267,36,19.993757623465015,light,0.8,0.09,1
135,descent,2801,2467,114,10310,Emirates,A320,7,406,7503,6016,3731,10,spring,clear,11.833027470452116,31,35,16,1.807383437489971,moderate,0.38,0.94,0
98,climb,1869,641,181,18322,United,A350,1,249,2452,13639,3334,5,winter,storm,2.3892208468299945,20,298,36,15.082762035442572,light,0.54,0.06,1
269,takeoff,805,878,170,15801,Delta,A320,11,267,4373,3911,7879,10,winter,storm,12.608818201162407,31,8,8,14.487789345995157,severe,0.98,0.55,1
123,cruise,367,2375,96,11370,Emirates,B787,25,261,1361,11663,5130,4,summer,rain,12.79131397308259,13,75,1,16.61182005144336,moderate,0.6,0.44,0
239,climb,2167,229,154,2444,Indigo,B737,16,271,8592,5623,6314,5,autumn,rain,11.707502175664098,48,109,-15,15.017581024871253,none,0.88,0.73,1
135,landing,1905,2054,238,18848,Emirates,B737,26,72,6116,7032,5135,7,summer,rain,14.640257642791404,42,48,0,9.708747324998688,moderate,0.44,0.92,0
472,takeoff,1699,1046,119,11682,Emirates,A320,28,48,5514,13200,591,7,summer,clear,10.770101359183839,21,279,23,5.999872179893151,none,0.87,0.61,0
487,descent,1376,1000,276,16061,Lufthansa,B737,27,32,761,12336,2714,9,autumn,storm,12.13455194297114,49,192,33,19.32109372151587,severe,0.92,0.27,1
526,climb,334,1550,181,19733,Delta,A320,9,216,6373,2405,6775,4,winter,storm,3.102113613422743,24,169,-20,3.4155435561338354,none,0.8,0.02,0
479,descent,1628,936,140,10313,Indigo,A320,9,410,9221,502,6750,7,autumn,storm,13.885312309216847,59,319,29,13.534661484756734,moderate,0.44,0.79,1
394,climb,2059,2825,231,15666,Emirates,B787,4,386,1401,531,566,9,summer,storm,7.120183018711218,51,23,-2,2.334801698971025,light,0.83,0.47,1
272,cruise,1130,1240,125,12803,Delta,A350,3,210,567,9183,1159,6,autumn,snow,10.969273439289891,39,270,-5,9.03759585621254,moderate,0.89,0.03,0
447,descent,1252,696,169,18068,United,A350,27,331,2622,4319,3148,4,winter,rain,11.761339357860512,49,183,6,17.168209021305362,light,0.85,0.93,1
575,landing,2290,2492,296,13375,United,A350,26,408,4184,8127,2312,5,spring,storm,4.91933990081799,38,193,7,17.08128989230143,moderate,0.54,0.4,1
171,descent,834,2749,87,5906,Emirates,A320,21,213,5532,12871,2442,8,winter,snow,10.223404816958109,11,267,-18,6.435288125079639,severe,0.26,0.94,1
600,cruise,723,461,79,3006,Delta,A350,16,345,2047,14194,7365,8,spring,rain,9.023744006525076,39,70,15,5.3371649632248825,severe,0.2,0.81,1
95,descent,617,728,265,8509,Delta,B737,15,34,9479,13276,6971,4,summer,clear,8.118607081108362,32,220,7,12.138652853115044,none,0.44,0.46,0
167,takeoff,1678,1203,155,16009,United,A350,2,100,7231,6339,2826,10,summer,clear,2.9281695366776836,1,100,-15,19.80162377782396,moderate,0.36,0.12,0
551,takeoff,2631,2510,81,15262,Delta,B787,17,240,8745,5216,1236,8,winter,clear,10.831900643430943,51,95,29,6.095751011362845,severe,0.66,0.01,1
526,landing,1648,2541,262,5497,Lufthansa,B737,16,181,7966,1878,6616,9,winter,rain,10.392318700675377,19,105,14,15.822953607553929,severe,0.79,0.69,1
378,cruise,547,536,85,19881,Indigo,B737,21,231,1898,7259,5156,6,spring,snow,5.361890253541993,5,54,37,14.793861180022958,moderate,0.6,0.25,0
109,landing,2036,1461,153,17409,Lufthansa,B787,19,297,3979,13484,6531,10,spring,rain,4.243864239294231,20,131,0,11.994701269588653,none,0.96,0.45,0
497,climb,1020,1094,64,12549,Emirates,B787,2,481,7520,6767,1388,10,autumn,rain,10.489252852079815,21,296,36,3.7897140813106844,moderate,0.49,0.0,0
418,cruise,1233,736,131,8125,Delta,B787,6,473,6620,1352,3194,7,winter,storm,7.885328874458,34,28,-3,9.249536567974365,severe,0.69,0.8,1
223,takeoff,1002,178,243,16503,Indigo,B787,7,411,9464,3470,5903,8,spring,rain,1.2704083547878164,2,264,-14,4.1712798127172075,severe,0.16,0.04,0
576,cruise,2006,1277,202,9945,Lufthansa,A320,1,150,813,3696,5704,5,summer,snow,14.511497150193506,44,1,30,17.41176445554195,moderate,0.73,0.1,0
404,cruise,1472,2235,205,8290,Lufthansa,B737,27,183,4671,5629,3249,6,autumn,storm,5.074614566270046,37,128,27,2.1703924250949003,severe,0.34,0.86,1
356,landing,1678,714,179,16290,United,A350,17,358,8605,9288,5671,8,summer,clear,9.669674308285167,17,342,36,17.507210378687127,severe,0.9,0.5,1
60,takeoff,495,649,220,18243,Delta,A320,17,340,2477,3490,6671,9,summer,storm,5.437200696144419,60,283,15,12.920410698397308,moderate,0.34,0.26,1
116,cruise,2277,2610,229,2538,Lufthansa,A350,24,167,5432,13074,7002,6,winter,rain,2.0332061532603323,29,312,8,4.716807208907381,none,0.89,0.75,0
190,cruise,2148,2047,88,3491,United,A350,8,480,5977,3051,1737,10,spring,storm,13.80061396151047,27,66,26,19.021605841674937,none,0.85,0.8,0
330,landing,2171,1213,232,15521,United,A320,5,266,4673,11631,7053,5,autumn,snow,8.508741317584503,23,184,33,17.233048196898565,none,0.71,0.28,0
87,descent,200,2406,74,8218,Lufthansa,A320,11,332,7777,7651,2971,6,spring,rain,1.4576471027195876,15,345,16,11.985501041800479,moderate,0.68,0.43,1
547,climb,1323,2679,290,16745,Indigo,A320,21,403,8505,8407,6958,5,summer,storm,9.050573729134076,47,168,-1,9.345510733506824,none,0.92,0.73,1
147,cruise,453,2054,152,19441,Indigo,B737,13,178,4803,5194,2268,10,summer,storm,10.931149914739043,34,95,2,11.095890761783519,light,0.78,0.67,0
75,climb,2540,681,147,9264,Lufthansa,A350,28,110,1952,598,3195,7,winter,snow,8.37508193178656,8,297,2,15.062947149778074,moderate,0.04,0.04,0
220,takeoff,1633,585,265,4010,United,B787,10,356,9272,10596,1741,4,autumn,rain,9.061387323739629,45,286,32,19.341631876535782,none,0.9,0.73,0
256,landing,2370,1962,281,10649,Lufthansa,B787,13,120,5163,14300,5803,6,spring,storm,14.522199640294685,55,313,-14,16.037441478492863,light,0.16,0.72,1
113,takeoff,404,175,138,18590,Lufthansa,B737,11,55,9920,4525,6476,8,winter,snow,11.746173029007544,49,226,32,19.69990436344083,moderate,0.35,0.44,1
466,climb,1849,2993,244,17841,United,B737,17,448,1573,8324,645,10,spring,snow,8.108744832454255,53,327,2,17.011950024631577,moderate,0.3,0.96,1
503,cruise,2594,2146,134,14708,United,A350,12,355,6334,3902,2172,6,spring,rain,3.634372952870034,42,29,40,9.50317883685422,severe,0.34,0.2,1
536,climb,668,1151,228,18234,Indigo,B787,7,485,6198,12895,6024,10,winter,storm,12.913229819389239,57,280,30,9.858123798598331,moderate,0.22,0.8,1
85,landing,248,26,246,2674,Delta,A320,10,285,4906,13376,1287,7,winter,clear,8.961376750012857,25,94,11,16.51065235413374,none,0.3,0.82,0
216,descent,352,1340,180,10203,United,A350,9,263,7552,13332,6745,6,autumn,rain,5.453013498350183,26,223,-5,10.798952790543645,moderate,0.24,0.73,0
345,landing,2841,100,60,18688,United,B737,27,309,725,5339,767,5,winter,snow,5.527633652523356,38,322,-3,15.151808201032653,moderate,0.96,0.74,1
347,descent,139,2818,159,2553,Lufthansa,A350,28,170,1715,6967,7130,7,autumn,snow,2.2908330009104483,11,93,16,14.922792161280187,severe,0.39,0.09,1
255,descent,827,2005,112,16966,United,A320,23,308,8256,12957,4764,7,winter,storm,4.193776793851399,53,244,-8,18.868302392605653,light,0.47,0.99,1
481,descent,2789,439,128,15438,Lufthansa,A320,23,120,3382,7933,4575,5,winter,clear,10.927851505406416,20,330,29,4.0853227841752116,severe,0.32,0.45,1
359,climb,390,888,125,7668,United,B737,17,135,5225,567,3938,5,spring,rain,13.019693269644737,11,175,27,5.119930400505872,moderate,0.22,0.02,0
401,takeoff,1230,1592,71,10136,Emirates,B787,19,394,2714,13626,1561,6,spring,rain,4.299718510380544,37,281,-2,19.624436914114057,none,0.31,0.44,0
452,climb,1838,1305,139,3106,Delta,A320,5,331,4466,508,4671,8,summer,storm,12.756717981412926,43,316,-9,2.904619939541837,none,0.39,0.94,0
257,landing,1672,2616,214,5808,United,A350,28,172,4760,13095,6644,5,summer,clear,8.279028556438872,4,10,-20,11.037862832922736,severe,0.94,0.11,1
296,climb,2684,2003,115,13259,United,A350,1,135,785,1501,5592,7,winter,rain,3.988268254075401,25,94,3,14.259514648147935,none,0.32,0.48,0
566,descent,2744,2261,190,15722,Indigo,B787,19,322,1997,13469,4566,6,winter,rain,12.815434554217926,60,272,29,13.359663842244014,moderate,0.44,0.67,1
301,landing,783,2041,178,7480,Indigo,A350,11,279,8714,11742,4117,5,spring,snow,10.009684446117669,39,357,-2,14.45055502145291,light,0.72,0.76,0
294,cruise,2660,993,293,6586,Lufthansa,B787,22,300,1614,13749,2873,7,summer,rain,8.138959527463223,27,115,-8,17.969940381867314,light,0.67,0.03,0
61,climb,2144,2600,245,15127,Lufthansa,A320,17,53,2819,9193,6437,10,winter,snow,14.164883447911382,59,103,-20,6.502927538840084,severe,0.09,0.29,1
283,cruise,2352,1223,108,18262,United,B787,11,189,1531,9471,2692,9,spring,rain,9.170399582342135,8,296,34,13.854833913065306,none,0.11,0.06,0
439,cruise,1964,2409,221,5198,United,B787,7,159,3940,11596,3015,8,winter,rain,7.799575704554607,15,38,23,8.869358431470676,severe,0.89,0.13,1
111,landing,1440,1053,67,5044,Emirates,B787,13,134,1363,3528,1225,8,summer,clear,14.8153693171065,31,345,7,17.6942845078788,light,0.78,0.44,0
520,landing,2948,2795,194,7386,United,A320,4,93,7769,14135,3627,7,summer,snow,1.7752189623185242,0,85,25,19.253278987621915,severe,0.25,0.94,1
428,landing,113,3,69,18830,Delta,B737,4,327,7182,9451,6357,7,autumn,storm,14.548601038118216,53,332,12,1.8822376171756017,moderate,0.87,0.82,1
220,landing,81,727,276,5588,Indigo,B737,6,492,4933,2049,961,6,autumn,storm,14.816634241799646,7,22,34,8.724060544204484,light,0.97,0.98,0
597,descent,2668,1028,51,6860,United,B787,6,161,5687,4764,3160,6,spring,rain,9.757319420148526,27,235,33,8.6745918931459,none,0.73,0.67,0
353,climb,1914,2376,218,6637,Indigo,B787,23,187,5658,5137,544,9,spring,storm,6.988987969014476,12,352,33,0.23842765878841155,moderate,0.15,0.79,0
346,cruise,2531,1402,97,4098,Emirates,A350,15,356,7456,5314,3306,4,autumn,clear,12.35250138146756,35,130,32,11.558805875755052,light,0.34,0.89,0
545,landing,1581,337,206,19028,Emirates,B737,1,376,2121,6035,4113,6,spring,snow,1.5680934388734975,46,59,4,3.0872292436577364,none,0.67,0.16,1
210,cruise,1119,27,251,9921,Indigo,B787,27,340,1476,1466,1959,5,spring,rain,11.342461812129997,43,222,-10,14.712888459755654,severe,0.5,0.48,1
318,descent,1855,623,105,4393,United,B787,25,181,5367,9325,882,10,summer,clear,7.503536031593926,24,356,-12,1.1860200883559546,moderate,0.52,0.3,0
596,landing,2803,309,213,7332,Emirates,B737,12,353,5569,13746,5446,8,winter,snow,1.8204787534656375,2,126,32,16.400642046801206,none,0.47,0.53,1
504,cruise,894,2615,212,14904,Lufthansa,B737,23,132,2016,5907,3685,4,spring,snow,12.625585482739906,0,193,1,4.24180253175617,light,0.86,0.08,0
347,takeoff,269,1103,236,5178,Emirates,A320,8,182,4343,3965,6697,9,spring,storm,13.779636327392115,41,133,11,18.54236023341643,none,0.15,0.91,0
591,descent,624,42,209,19045,United,B737,12,421,879,6096,1680,4,winter,clear,4.681319041104144,43,235,7,0.6262124269405933,none,0.04,0.87,0
140,takeoff,1791,650,76,13308,Indigo,A320,5,254,5420,8730,2507,5,autumn,snow,6.152576587113116,60,341,-6,19.261484326256625,moderate,0.33,0.23,1
161,landing,787,1339,143,3004,Delta,A350,1,302,1159,9826,2921,5,winter,rain,3.5594086554058686,38,11,22,13.355595861507929,severe,0.89,0.56,1
384,climb,2328,2410,270,5287,Lufthansa,A320,16,491,2434,14675,5481,10,summer,clear,5.738565957978165,57,31,14,6.6558534338122115,light,0.22,0.09,1
333,landing,2612,1541,231,17324,Indigo,B787,30,447,8705,12838,1396,8,spring,snow,10.27753361396437,25,73,24,5.0708419469069295,severe,0.95,0.37,1
164,takeoff,2,1706,164,6210,Emirates,B737,22,224,9650,1751,2908,6,summer,clear,5.977873093806832,32,201,-13,2.2432795665615357,moderate,0.29,0.8,0
545,climb,2362,2398,159,14494,Indigo,A320,27,284,7878,2719,4997,10,winter,clear,1.5340007112583052,13,304,-14,1.2554621284664425,severe,0.99,0.78,1
382,landing,1184,2048,122,9015,Delta,A350,30,172,6545,14294,2725,6,spring,snow,4.224984316841639,48,232,-18,17.656326536739527,none,0.31,0.86,1
194,descent,1626,851,137,16105,Emirates,B737,10,358,1503,14514,7513,7,autumn,rain,6.816024504981209,24,17,35,12.623930241483333,moderate,0.64,0.42,0
360,climb,866,1373,73,2049,Indigo,A320,13,471,4169,7063,6646,6,summer,snow,7.636175418173733,39,0,17,2.8895722131344903,moderate,0.35,0.68,0
582,climb,2978,1180,102,10400,Lufthansa,B737,2,286,8117,7210,5007,6,spring,storm,5.898058007439034,23,175,18,0.3330530463510373,moderate,0.65,0.66,0
312,descent,1712,2511,189,3979,Lufthansa,B787,29,395,684,7902,2860,6,summer,rain,8.15338638372636,54,87,11,16.731715352761412,moderate,0.14,0.39,1
306,cruise,2702,2334,106,8725,Emirates,A350,4,90,8496,8792,5612,7,winter,clear,4.757400345738295,13,115,33,11.247602421129145,moderate,0.02,0.58,0
337,cruise,31,75,52,9312,United,B737,24,121,9603,9889,7640,6,autumn,storm,3.9943504884061967,53,76,-5,1.5436293503695842,none,0.41,0.16,1
346,cruise,1560,2051,182,14877,Lufthansa,B737,17,13,4117,10701,4154,4,autumn,rain,9.408407946652073,22,106,-19,6.581664239459551,none,0.95,0.37,0
526,takeoff,1083,1285,298,3260,Emirates,A320,1,189,709,10924,5486,6,spring,storm,3.9227848314656466,15,147,-8,1.249993066527304,none,0.7,0.45,0
219,landing,239,2869,192,8700,Indigo,A320,7,26,1812,10223,4758,4,autumn,storm,3.95402024525883,1,283,17,7.422037726426785,severe,0.63,0.83,1
285,climb,1952,1522,300,15642,Lufthansa,A320,19,173,9915,8753,4269,8,autumn,rain,7.980039798297567,49,97,-15,0.8214694933790923,light,0.74,0.65,1
527,climb,1163,1901,240,11954,Lufthansa,A320,3,185,2050,13182,692,5,winter,rain,1.258969685864381,48,334,17,2.3477443582993884,none,0.63,0.7,1
386,landing,1411,476,96,5783,Indigo,B737,4,123,8637,5912,404,4,autumn,snow,8.208736932825712,49,301,9,4.070696438831067,none,0.25,0.67,1
302,descent,197,647,94,15189,Delta,A320,21,198,528,6802,2374,6,spring,snow,14.468310571474834,30,172,-5,13.263294364494644,light,0.43,0.58,0
441,landing,833,2035,134,17850,Delta,B737,14,209,4420,14352,4413,4,summer,storm,13.444289893938626,2,70,27,11.725096652511432,moderate,0.48,0.23,0
303,landing,401,383,68,7196,Delta,B737,13,163,5839,5081,6845,8,autumn,clear,12.22219072654866,26,155,33,4.2544337495192615,light,0.96,0.28,0
112,descent,60,85,157,9461,Delta,B787,29,49,5955,8016,2861,10,winter,snow,7.528131270954288,34,338,40,5.0470478533594365,none,0.11,0.79,0
567,descent,1470,2084,203,10451,Emirates,A350,23,230,8397,12394,7761,7,summer,snow,10.176774216439862,2,96,13,19.49510035658422,light,0.1,0.33,0
129,takeoff,1025,811,294,17184,United,A320,4,107,6655,6002,3664,5,winter,storm,7.224952002680753,45,316,23,19.228716801964822,severe,0.24,0.56,1
244,climb,1021,665,111,4376,Lufthansa,A320,2,495,1609,7794,4827,9,summer,rain,4.785338943956781,21,114,-19,0.08684001096624705,light,0.3,0.1,0
363,takeoff,1373,2819,247,14821,United,A350,5,408,794,2711,3563,10,winter,snow,1.5509248439591978,11,283,13,1.6364798252611434,moderate,0.64,0.54,1
281,takeoff,2467,1238,68,18004,Emirates,B787,21,341,2871,12581,5343,8,autumn,clear,3.9956859414211694,53,287,-4,11.889864249298645,light,0.89,0.47,1
405,climb,1467,1063,138,11575,United,B737,8,43,3545,12653,640,9,spring,clear,4.165612119050315,28,61,30,0.23305766251455973,none,0.85,0.82,0
426,cruise,2519,2691,234,2463,Lufthansa,A350,18,413,9359,7337,7619,6,winter,snow,12.406896101934606,55,111,12,11.78998533488352,light,0.9,0.39,1
122,cruise,2658,63,222,10204,United,B787,5,119,2407,13320,6009,7,spring,clear,6.60457290937638,44,157,39,1.721397943184173,severe,0.81,0.39,1
